"","x"
"166","vaksin bukanlah obat untuk menyembuhkan orang yang terpapar virus covid tapi program vaksinasi yang sedang dila "
"167","pemerintah melalui satgas penanganan covid memutuskan memperpanjang pelarangan orang asing untuk masuk ke wilaya "
"168","kesadaran masyarakat terhadap vaksinasi akan menjadi penentu keberhasilan pemerintah mengatasi covid"
"169","pemkab badung imbau pelaksanaan pilkades patuhi protokol kesehatan pemerintah kabupaten badung bali mengimbau se "
"170","pemkab badung imbau pelaksanaan pilkades patuhi protokol kesehatan pemerintah kabupaten badung bali mengimbau "
"171","jika vaksinasi untuk masyarakat luas dari pemerintah semacam mendaftar utk mndapatkan rekening buku bank saya yaki "
"172","kasus covid sudah tembus juta pemerintah siapkan kebijakan karantina terbatas"
"173","pemerintah kabupaten sumenep melalui dinas kesehatan sumenep akan melakukan vaksinasi tahap pe "
"174","penyebaran covid dengan angka kasusnya yang telah mencapai satu juta kasus mengindikasikan bahwa seluruh rakyat indonesia "
"175","saya sangat menyesal atas setiap nyawa yang telah hilang dan tentu saja sebagai perdana menteri saya bertanggung jawa "
"176","wakil ketua mpr mengatakan masuknya wna asal china ke indonesia sangat kontraproduktif dengan kebij "
"177",""
"178","rs swasta pemerintah tunggak ratusan miliar biaya covid"
"179","walah udh gila pemerintah ini uang rakyat buat covid masih dimaling juga ckckck"
"180","pemerintah tengah menggalakkan program vaksinasi virus covid hal itu dinilai akan menjadi salah satu game changer pemuliha "
"181","berkomitmen penuh tuk melindungi identitas tiap pelapor  fokus utama penyampaian laporan kpd pemerinta "
"182","melihat tren peningkatan kasus covid dan upaya menekan penyebarannya pemerintah pun memperpanjang ppkm mulai  "
"183","dan utk pemerintah kita mungkin memang penanganny covid msh kurang dan jauh msh byk h "
"184","yg dibutuhkan masyarakat skrg ini cuma data transparan dana dana yang masuk buat pemerintah dan yang keluar buat r "
"185","berbagai persiapan pelaksanaan vaksinasi covid terus dilakukan pemerintah trmasuk mmpersiapkan infrastruktur satu data "
"186","fix vaksin tak berbahaya   pemerintah dan masyarakat harus bekerja sama agar dampak pande "
"187","inilah akibat ketika rakyat muak melihat ketidakbecusan pemerintah anggka covid semakin tinggi raky "
"188","covid di indonesia double damagenya baik pemerintah dan rakyatnya juga sama bebalnya dalam menghadapi "
"189","pemerintah sepakat ekonomi indonesia akan segera pulih dari pandemi covid"
"190","sistem integrasi data ini akan menghasilkan data dalam bentuk by name by address dari berbagai sumber guna menghind "
"191","pemerintah menargetkan vaksinasi covid terhadap juta orang penduduk di indonesia"
"192","sikap   mengingatkan pemerintah agar memastikan perlindungan keselamatan "
"193","rahan rakyat indonesia mengajak pemerintah untuk merenung usai kasus covid tembus juta yang mana sebagian besarnya adalah "
"194","seperti diketahui pemerintah tengah menggalakkan program vaksinasi virus covid   fix vaksin tak berbahaya   "
"195","seperti diketahui pemerintah tengah menggalakkan program vaksinasi virus covid   fix vaksin tak berbahaya "
"196","pemerintah indonesia mulai melakukan vaksinasi covid tahukah kamu  berapa kali vaksin covid disu "
"197","mari dukung upaya keras pemerintah dalam program vaksinasi masal agar negeri ini dapat segera terbebas dari virus covid  f "
"198","pemerintah memutuskan insentif bagi tenaga kesehatan yang menangani pandemi covid akan mengalami penurunan sementara itu  "
"199","fix vaksin tak berbahaya    pemerintah memfokuskan dua cara untuk mengendalikan wabah ini  "
"200","penyebaran covid yg telah mencapai satu juta kasus mengindikasikan bahwa seluruh rakyat indonesia bersama dg pemerintah har "
"201","demi penurunan angka covid kita harus patuh dan menjalankan peraturan yang diterapkan pemerintah gubernur jawa timur"
"202","dalam kesempatan tersebut raffi juga mengajak seluruh pihak untuk turut mengikuti program vaksinasi massal yang di "
"203","jangan lewatkan diskusi terbuka antara pemerintah dan para pemimpin media di spesial covid tembus "
"204","mengingat penyebaran kasus covid yang tidak terkendali pemerintah indonesia memilih vaksinasi sebagai upaya pengendali "
"205","tembus juta kasus positif kovid di indonesia per  pemerintah amp masyarakat harus perkuat kerjasama tidak "
"206","maka dari itu meskipun vaksin covid telah tiba dan pemerintah sedang melancarkan program vaksinasi ke seluruh w "
"207","pemerintah tengah menggalakkan program vaksinasi virus covid hal itu dinilai akan menjadi salah satu game chang "
"208","komisi ix minta pemerintah percepat vaksinasi covid agar sesuai target"
"209","seperti diketahui pemerintah tengah menggalakkan program vaksinasi virus covid hal itu dinilai akan menjadi s "
"210","mengingat penyebaran kasus covid yang tidak terkendali pemerintah indonesia memilih vaksinasi sebagai upaya pen "
"211","zhang hai bongkar upaya pemerintah china tutupi covid ancam warga yang bicara pada media asing"
"212","vaksin bukanlah obat untuk menyembuhkan orang yang terpapar virus covid tapi program vaksinasi yang sedang dilancarkan "
"213","do you still remember when he said ada ribu triliun uang kita terparkir diluar negeri datanya ada dikantong saya h "
"214","kasus covid tembus satu juta pemerintah nunggak biaya perawatan pasien covid ke swasta nilainya mendekati angka r "
"215","tembus juta positip kasus covid angka ini membuat kita harus merenung ada dua momen penting yang harus kita sadari  "
"216","untuk memulihkan ekonomi saat ini adalah mengendalikan kasus covid  pemerintah fokus dua cara untuk mengendalikan wabah in "
"217","program vaksin covid telah berjalan sejak awal tahun dan pemerintah menargetkan vaksin dapat diterima oleh seluruh masyarak "
"218","seluruh rakyat indonesia bersama dengan pemerintah harus berkolaborasi amp bekerja sangat keras u mengatasi pandemi      fix v "
"219","banyak orang di luar sana yg masih percaya covid ini bohong dan hanya akal an saja mungkin bapak bisa ikut menyadark "
"220","program vaksin covid telah berjalan sejak awal tahun dan pemerintah menargetkan vaksin dapat diterima oleh seluruh masyar "
"221","kagok pulau jawa ungkul mah   covid tembus juta pemerintah didesak lockdown pulau jawa"
"222","seskab pramono anung vaksinasi upaya sungguh sungguh pemerintah atasi pandemi covid"
